,split_perc,split_conn,filename,feat_name,run,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
259,40,attack,argmin_all.csv,xlm-roberta-large,0,0.5658700274084889,0.5657685728250245,0.5666797431503314,0.6252465483234714,0.6391129032258065,0.611969111969112,0.5064935064935066,0.49242424242424243,0.5213903743315508,0.5631577307015224,0.5633297481002508,0.5649688442375101,0.6291875240662302,0.652555910543131,0.6074349442379182,0.4971279373368146,0.47410358565737054,0.5225027442371021
260,40,attack,perspectrum_all.csv,bert-base,0,0.5524588618347603,0.5526033272146609,0.5527272608282661,0.5388446215139442,0.5283203125,0.5497967479674797,0.5660731021555765,0.5768863419293219,0.5556577736890524,0.5893977132517971,0.5893915755815714,0.590208863527391,0.5537124802527646,0.5384024577572964,0.5699186991869919,0.6250829462508295,0.6403806934058464,0.61049902786779
261,40,attack,perspectrum_all.csv,bert-large,0,0.6136028225091749,0.6136011744866285,0.6136456945361983,0.6070726915520629,0.603515625,0.6106719367588933,0.6201329534662868,0.623686723973257,0.6166194523135033,0.606400818454224,0.6063377369543901,0.6073635883437659,0.5717674970344009,0.5552995391705069,0.589242053789731,0.641034139874047,0.6573759347382733,0.6254851228978008
262,40,attack,perspectrum_all.csv,distilbert,0,0.5592506510598976,0.5593749067275549,0.5595035567063311,0.5462686567164179,0.5361328125,0.5567951318458418,0.5722326454033773,0.5826170009551098,0.5622119815668203,0.5521898655930297,0.5521834838626137,0.5521975468030413,0.5244136870434448,0.5238095238095238,0.5250192455735181,0.5799660441426147,0.5805574439157036,0.5793758480325645
263,40,attack,perspectrum_all.csv,all_lms,0,0.8063330939910791,0.8063123059933142,0.8063723157928124,0.8035276825085742,0.80078125,0.8062930186823992,0.8091385054735839,0.8118433619866284,0.8064516129032258,0.7875443689481385,0.7866272251757219,0.7901586843501776,0.7677008750994432,0.7411674347158218,0.7962046204620462,0.8073878627968338,0.832087015635622,0.7841127482383088
264,40,attack,perspectrum_all.csv,roberta-base,0,0.6261353087411563,0.6263771676516237,0.626984060041012,0.610971313537997,0.5927734375,0.6303219106957425,0.6412993039443157,0.6599808978032474,0.6236462093862816,0.6256249976265706,0.6254687397206202,0.6263946366843887,0.5945733385764844,0.5806451612903226,0.6091861402095085,0.6566766566766568,0.6702923181509177,0.643603133159269
265,40,attack,perspectrum_all.csv,roberta-large,0,0.758485091614733,0.7584551471466094,0.7586056608281444,0.7539370078740156,0.748046875,0.7599206349206349,0.7630331753554502,0.7688634192932188,0.7572906867356538,0.7577707624901695,0.7571797715380093,0.7591575091575091,0.7375049193231011,0.7196620583717358,0.7562550443906376,0.778036605657238,0.7946974847042828,0.7620599739243807
266,40,attack,perspectrum_all.csv,xlm-roberta-base,0,0.5533240294341537,0.5558338183500477,0.5573639473709429,0.5142857142857142,0.474609375,0.5612009237875288,0.5923623445825933,0.6370582617000955,0.5535269709543569,0.5663904596114633,0.5666719923644113,0.567635007298837,0.5241709948062325,0.5038402457757296,0.5462114904246461,0.608609924416694,0.6295037389530931,0.589058524173028
267,40,attack,perspectrum_all.csv,xlm-roberta-large,0,0.7020088201218373,0.7021684910756925,0.7032822385660452,0.6892028254288597,0.6669921875,0.7129436325678496,0.7148148148148148,0.7373447946513849,0.6936208445642408,0.6951426363699185,0.6948025367029336,0.6959784635587656,0.670846394984326,0.6574500768049155,0.6848,0.7194388777555111,0.7321549966009517,0.7071569271175312
268,40,attack,perspectrum_all.csv,roberta-base,0,0.6261353087411563,0.6263771676516237,0.626984060041012,0.610971313537997,0.5927734375,0.6303219106957425,0.6412993039443157,0.6599808978032474,0.6236462093862816,0.6256249976265706,0.6254687397206202,0.6263946366843887,0.5945733385764844,0.5806451612903226,0.6091861402095085,0.6566766566766568,0.6702923181509177,0.643603133159269
269,40,attack,perspectrum_all.csv,roberta-large,0,0.758485091614733,0.7584551471466094,0.7586056608281444,0.7539370078740156,0.748046875,0.7599206349206349,0.7630331753554502,0.7688634192932188,0.7572906867356538,0.7577707624901695,0.7571797715380093,0.7591575091575091,0.7375049193231011,0.7196620583717358,0.7562550443906376,0.778036605657238,0.7946974847042828,0.7620599739243807
270,40,attack,perspectrum_all.csv,xlm-roberta-base,0,0.5533240294341537,0.5558338183500477,0.5573639473709429,0.5142857142857142,0.474609375,0.5612009237875288,0.5923623445825933,0.6370582617000955,0.5535269709543569,0.5663904596114633,0.5666719923644113,0.567635007298837,0.5241709948062325,0.5038402457757296,0.5462114904246461,0.608609924416694,0.6295037389530931,0.589058524173028
271,40,attack,perspectrum_all.csv,xlm-roberta-large,0,0.7020088201218373,0.7021684910756925,0.7032822385660452,0.6892028254288597,0.6669921875,0.7129436325678496,0.7148148148148148,0.7373447946513849,0.6936208445642408,0.6951426363699185,0.6948025367029336,0.6959784635587656,0.670846394984326,0.6574500768049155,0.6848,0.7194388777555111,0.7321549966009517,0.7071569271175312
272,40,attack,perspectrum_all.csv,roberta-base,0,0.6261353087411563,0.6263771676516237,0.626984060041012,0.610971313537997,0.5927734375,0.6303219106957425,0.6412993039443157,0.6599808978032474,0.6236462093862816,0.6256249976265706,0.6254687397206202,0.6263946366843887,0.5945733385764844,0.5806451612903226,0.6091861402095085,0.6566766566766568,0.6702923181509177,0.643603133159269
273,40,attack,perspectrum_all.csv,roberta-large,0,0.758485091614733,0.7584551471466094,0.7586056608281444,0.7539370078740156,0.748046875,0.7599206349206349,0.7630331753554502,0.7688634192932188,0.7572906867356538,0.7577707624901695,0.7571797715380093,0.7591575091575091,0.7375049193231011,0.7196620583717358,0.7562550443906376,0.778036605657238,0.7946974847042828,0.7620599739243807
274,40,attack,perspectrum_all.csv,xlm-roberta-base,0,0.5533240294341537,0.5558338183500477,0.5573639473709429,0.5142857142857142,0.474609375,0.5612009237875288,0.5923623445825933,0.6370582617000955,0.5535269709543569,0.5663904596114633,0.5666719923644113,0.567635007298837,0.5241709948062325,0.5038402457757296,0.5462114904246461,0.608609924416694,0.6295037389530931,0.589058524173028
